method,alpha_mean,alpha_std,beta_mean,beta_std,pos_weight_mean,pos_weight_std,learnable_params_mean,learnable_params_std,smallcnn_params_mean,smallcnn_params_std,sobelfront_params_mean,sobelfront_params_std,unet_params_mean,unet_params_std,Dice@0.5_mean_mean,Dice@0.5_mean_std,Dice@0.5_std_mean,Dice@0.5_std_std,Dice@valThr_mean_mean,Dice@valThr_mean_std,Dice@valThr_std_mean,Dice@valThr_std_std,Prec@valThr_mean_mean,Prec@valThr_mean_std,Prec@valThr_std_mean,Prec@valThr_std_std,Rec@valThr_mean_mean,Rec@valThr_mean_std,Rec@valThr_std_mean,Rec@valThr_std_std,ASSD_px_mean_mean,ASSD_px_mean_std,ASSD_px_std_mean,ASSD_px_std_std,HD95_px_mean_mean,HD95_px_mean_std,HD95_px_std_mean,HD95_px_std_std,F1@tol1px_mean_mean,F1@tol1px_mean_std,F1@tol1px_std_mean,F1@tol1px_std_std,F1@tol2px_mean_mean,F1@tol2px_mean_std,F1@tol2px_std_mean,F1@tol2px_std_std,F1@tol3px_mean_mean,F1@tol3px_mean_std,F1@tol3px_std_mean,F1@tol3px_std_std,F1@tol5px_mean_mean,F1@tol5px_mean_std,F1@tol5px_std_mean,F1@tol5px_std_std,Thr_val_mean_mean,Thr_val_mean_std,Thr_val_std_mean,Thr_val_std_std
A_perfect_target_vs_target,1.2531275272369384,0.0020290340040382436,-1.3843558073043822,0.007587964848595018,50.0,0.0,20.0,0.0,4817.0,0.0,2947.0,0.0,117985.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
B_fixed_sobel_edges,1.2531275272369384,0.0020290340040382436,-1.3843558073043822,0.007587964848595018,50.0,0.0,20.0,0.0,4817.0,0.0,2947.0,0.0,117985.0,0.0,0.05849312353289067,0.0032590241957302485,0.057420233855113724,0.0032608367646652144,0.18102204541668432,0.009282569467210865,0.09096275993858956,0.0031038743869481232,0.11302269837032357,0.006444096960536676,0.06327773878445712,0.002790594106891898,0.5643554111246382,0.01781658723889939,0.1793541980731544,0.006571229696135231,35.40961294642557,1.153850413497407,13.10473278194959,1.2060622208823557,83.82807929126918,1.5437639438729738,17.694300592386238,1.835429803476084,0.22590128351661024,0.011392909218052583,0.11264975291182684,0.0034945110594760474,0.25668619290367084,0.012472406679717543,0.1262593461494917,0.0034725909545070643,0.28325497775033703,0.013209383002050996,0.13680362889576303,0.0034515234804434656,0.3242446872715164,0.014527744749283979,0.15056197953799186,0.003907546699478244,,,,
C_learnable_sobel_pretrain_finetune,1.2531275272369384,0.0020290340040382436,-1.3843558073043822,0.007587964848595018,50.0,0.0,20.0,0.0,4817.0,0.0,2947.0,0.0,117985.0,0.0,0.1399349123998846,0.007644168281199622,0.07851954041514457,0.005139920667659592,0.18507887954332305,0.010406192997964263,0.11919061161636031,0.0038158283448497454,0.15140749056236427,0.011501889564125206,0.1112583070634475,0.010576695330000626,0.4607056211675255,0.050143543208902436,0.3132349752466278,0.0025126698276458346,22.836260352590553,1.6978306091466435,17.122699887201428,1.5168969988555527,60.226785250451414,4.001300883515549,32.1674925388197,0.5928907736319551,0.25493150033790934,0.012841890864565395,0.15221947920463796,0.0063381223323101775,0.3182336713576581,0.014430997401501004,0.17946205794704764,0.008799586579224746,0.3824301250806512,0.015138641492612884,0.20419948587912123,0.010817699923496165,0.48174283327396983,0.014212251927387974,0.23678186876983345,0.011530530881024159,,,,
D_smallcnn_baseline,1.2531275272369384,0.0020290340040382436,-1.3843558073043822,0.007587964848595018,50.0,0.0,20.0,0.0,4817.0,0.0,2947.0,0.0,117985.0,0.0,0.20506314112395402,0.0342973592865921,0.12650396896457825,0.01952377950126069,0.32300384925900694,0.022814974104681817,0.1881788511181136,0.009983941992306518,0.3135558694274494,0.03917169896625355,0.19679819414171126,0.019039540004619167,0.4448805319835104,0.09303066615462553,0.23199617893525531,0.020344065038106558,inf,,17.502834833657708,2.4317395451697514,inf,,32.884622257456286,1.8954331782950118,0.40798991034884846,0.026959578762701195,0.2221550080918017,0.01239567126841229,0.4646490434117939,0.02852304538460824,0.24087048818749657,0.012851749229996512,0.5107385716062204,0.028160418462466228,0.2534033256688198,0.012471522029191355,0.5721756383384624,0.026285919526861483,0.26608260490094315,0.011736008103062199,,,,
E_sobelfront_cnn,1.2531275272369384,0.0020290340040382436,-1.3843558073043822,0.007587964848595018,50.0,0.0,20.0,0.0,4817.0,0.0,2947.0,0.0,117985.0,0.0,0.2446520818955591,0.018969092863661226,0.14356025587777257,0.010088071146126228,0.37354227304798626,0.0109236186927177,0.19342566677412848,0.007839798648280149,0.3333264110586555,0.025340365038201234,0.184651181857111,0.0131009996522288,0.5377901779992224,0.05441467675857367,0.2544643970569723,0.010390841076153031,18.753789555404857,2.464433881155341,16.921317944575677,2.0065627153866727,54.04298735200067,6.239983804252553,32.44820101963887,1.8224721181981096,0.46217536957654903,0.013149119553963596,0.22319270213100967,0.009226820292526614,0.5184456169441475,0.014947756380135332,0.23834143370268085,0.010095510961447096,0.5624582197890802,0.016480519125221287,0.24806522214194976,0.010792633626422321,0.6194856650549887,0.018422461556891277,0.2579032805779712,0.011427112595907526,,,,
F_tinyunet_seg_to_boundary,1.2531275272369384,0.0020290340040382436,-1.3843558073043822,0.007587964848595018,50.0,0.0,20.0,0.0,4817.0,0.0,2947.0,0.0,117985.0,0.0,0.4531052439454859,0.005643384153513361,0.21587649969059738,0.015047748111282613,0.4531052439454859,0.005643384153513361,0.21587649969059738,0.015047748111282613,0.4652446793175156,0.023838132162616557,0.23321423955814166,0.01903320861422285,0.4861070839563816,0.0322277324368876,0.21703245249453218,0.01355019640526684,inf,,,,inf,,,,0.5504543782093261,0.0060247885133089575,0.24760804354627775,0.014841960117118583,0.6109357835190932,0.009805243622624499,0.2596313930115754,0.013661073667633864,0.6551298336288316,0.012834312862526226,0.26358330546219144,0.013197247858458577,0.7088957067589039,0.01388608090226046,0.26338549198706857,0.012498824176070983,,,,
