method,Dice@0.5_mean,Dice@0.5_std,Dice@valThr_mean,Dice@valThr_std,Prec@valThr_mean,Prec@valThr_std,Rec@valThr_mean,Rec@valThr_std,ASSD_px_mean,ASSD_px_std,HD95_px_mean,HD95_px_std,F1@tol1px_mean,F1@tol1px_std,F1@tol2px_mean,F1@tol2px_std,F1@tol3px_mean,F1@tol3px_std,F1@tol5px_mean,F1@tol5px_std,seed,alpha,beta,pos_weight,learnable_params,smallcnn_params,sobelfront_params,unet_params
B_fixed_sobel_edges,0.061377731501779054,0.058792972851981554,0.1722612260960554,0.08784779282506623,0.10788408681367087,0.06218749019920555,0.53373705895352,0.17826092156028323,36.46416707931243,13.715441908230664,85.61119606156862,18.68559877354077,0.21575951133271112,0.10974967466261204,0.24623318157758362,0.12392656738419813,0.27290203027744253,0.13503770122381895,0.31354350680699195,0.1497119389712339,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985
C_learnable_sobel_pretrain_finetune,0.12883831406621696,0.0711508042263575,0.18108158254726395,0.11724522333869399,0.1387291166225125,0.10801720826196735,0.4968363595747539,0.3155696504262726,24.502318332113195,16.84171279296758,63.922694764345216,31.810160851491343,0.24738196473376575,0.15057246293706933,0.30710112633270903,0.1776086343023577,0.3680194600724127,0.20181441922027119,0.4645215381415206,0.2343197703356657,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985
D_smallcnn_baseline,0.17915607117187493,0.10401466078615525,0.28934392821315136,0.1845039206097198,0.2717846762679415,0.1841159195781886,0.4028763356189437,0.23188404878843666,inf,,inf,,0.36778393619906496,0.21759289825659353,0.42177755581565995,0.23618054309890027,0.4678083236776475,0.2494219031360072,0.5305992648057051,0.2648080929907345,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985
E_sobelfront_cnn,0.22978711661799664,0.1291837837018327,0.3559263047002992,0.1872424845081545,0.30049328774510103,0.17099389333812445,0.5442945185156943,0.24952661434764972,21.22857192793162,17.369641557319575,61.54307907734533,31.981513060391297,0.4399496827847439,0.21743499064708624,0.4930220868151849,0.2337799046089659,0.5348194178919905,0.24557132101568163,0.5898738442848179,0.2587296784276593,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985
F_tinyunet_seg_to_boundary,0.45141116142421395,0.20875513319357053,0.45141116142421395,0.20875513319357053,0.4287443782233738,0.21906413721642656,0.5302407579787272,0.2131800026027792,inf,,inf,,0.5448713612821987,0.2369658177043394,0.6007019130523183,0.24593168948431798,0.6412445735289171,0.2484638831164718,0.691764337403792,0.2493584524808688,7,1.2543843984603882,-1.3864613771438599,50.0,20,4817,2947,117985
