method,Dice@0.5_mean,Dice@0.5_std,Dice@valThr_mean,Dice@valThr_std,Prec@valThr_mean,Prec@valThr_std,Rec@valThr_mean,Rec@valThr_std,ASSD_px_mean,ASSD_px_std,HD95_px_mean,HD95_px_std,F1@tol1px_mean,F1@tol1px_std,F1@tol2px_mean,F1@tol2px_std,F1@tol3px_mean,F1@tol3px_std,F1@tol5px_mean,F1@tol5px_std,seed,alpha,beta,pos_weight,learnable_params,smallcnn_params,sobelfront_params,unet_params
B_fixed_sobel_edges,0.0599827787174912,0.05734292773211202,0.17805353570886304,0.08747997277160842,0.10979847742135396,0.05905162193629428,0.5668321217284228,0.17665446286017744,35.311424521634024,11.007699589365568,83.47685278509086,14.547106788329573,0.2218781188464357,0.108121525761337,0.25209073360548495,0.12131299536254268,0.2782083371360082,0.13158647981943772,0.3184171300779439,0.14426648394357566,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985
C_learnable_sobel_pretrain_finetune,0.141748090511542,0.07913126223007855,0.18287024669150376,0.12242872462999826,0.15936558135740897,0.12517148710142617,0.42204451582954394,0.3159623060966657,20.857158813815513,14.867651046145326,57.59992440560287,31.715252417717178,0.2544439806235923,0.1575445587024858,0.3195567679376582,0.1852861589783947,0.3858997444716487,0.20882188518085862,0.48963971624370134,0.2391693364814845,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985
D_smallcnn_baseline,0.25624960868633573,0.14906049469902932,0.34629462418331275,0.20294465782566648,0.3658381723793164,0.21952973509920898,0.41129096289264067,0.22441694346549848,17.17706417841118,14.80418739540295,50.95002214758291,32.050881819494506,0.43861756870321994,0.2397713486482927,0.4976369155078285,0.2589728109308973,0.5431645557792933,0.27051438038184494,0.599804541795152,0.28070742552129485,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985
E_sobelfront_cnn,0.2539030397205047,0.14716277010497278,0.37000784405162346,0.20405784966013554,0.3653688353732163,0.2034108366117289,0.4656885350527689,0.2484378121550612,16.309282880011544,14.43461161692825,48.98980792588705,31.57029505018186,0.46191990350573714,0.2362235795932929,0.5212200028614539,0.2525125471621286,0.5677023269301531,0.2626955159402665,0.6263070134567801,0.2713130972154834,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985
F_tinyunet_seg_to_boundary,0.4571343025606888,0.21471213896793667,0.4571343025606888,0.21471213896793667,0.4613560548567095,0.23760320413559943,0.5027541027517198,0.21287916225183334,inf,,inf,,0.5526746322275491,0.24550563536423173,0.6103670778159879,0.2561073115893975,0.6524755283745666,0.25837672750988294,0.7046200533528831,0.2578671364141769,2026,1.2533166408538818,-1.3780279159545898,50.0,20,4817,2947,117985
