method,Dice@0.5,Dice@valThr,Prec@valThr,Rec@valThr,ASSD_px,HD95_px,Thr_val,F1@tol1px,F1@tol2px,F1@tol3px,F1@tol5px,seed
B_fixed_sobel_edges,0.0,0.13378860779138074,0.08994156928211812,0.26105390672303996,29.780835130108617,81.01851546170813,0.1,0.1799486386776371,0.21496802981825447,0.2442229867868955,0.2929553611647583,1337
B_fixed_sobel_edges,0.010658914728677006,0.22960045019692885,0.15608263198160746,0.4340425531912585,18.72984111577364,61.326992425847855,0.1,0.29251300897992194,0.3391890528686472,0.3857117993975807,0.4783578957977541,1337
B_fixed_sobel_edges,0.06494117647055768,0.30178432893712154,0.19414406920642252,0.677307022634546,18.033865969323486,57.757245312227674,0.1,0.3855806536485917,0.44027313858513273,0.4827983750070696,0.5496441062486201,1337
B_fixed_sobel_edges,0.04209495839449726,0.29451632778800146,0.19752066115698397,0.5786924939463809,16.41303813333836,52.32590180780452,0.1,0.38754535654068345,0.4569310466932222,0.5162000861798922,0.5936364952964508,1337
B_fixed_sobel_edges,0.13134851138342263,0.12716615698265454,0.06873278236913653,0.8486394557808696,47.38335270509134,95.22603121270971,0.1,0.1487894179726501,0.1596958173435079,0.16527672463984608,0.17656662045934177,1337
B_fixed_sobel_edges,0.1981809478218295,0.17956903431761975,0.10122595883476534,0.7943512797874719,40.11338803477685,89.12014210077558,0.1,0.22872814039772518,0.26555335681624703,0.2980474729469134,0.34969837558142924,1337
B_fixed_sobel_edges,0.14035087719289754,0.21521572632113667,0.12397058823527587,0.815280464215846,33.73575187051369,81.04597454889442,0.1,0.27337468463860765,0.317566770601931,0.35907335877864677,0.42373667096863904,1337
B_fixed_sobel_edges,0.08433734939751779,0.3180368098158729,0.21744966442945723,0.5917808219172678,27.948310295371122,76.39437099047333,0.1,0.4091283172919898,0.4770178370512563,0.5274448634163427,0.5765464528972246,1337
B_fixed_sobel_edges,0.08583690987117096,0.34294786980673647,0.24324324324315194,0.58116591928199,23.32607608260572,72.11102550927978,0.1,0.43930358331793434,0.5044430545896432,0.5414740262690776,0.5750200584292638,1337
B_fixed_sobel_edges,0.050914306202921866,0.24176100628927774,0.16632052613358145,0.44244935543257713,29.50593894986164,90.42317045080567,0.1,0.31498589038764996,0.3638267780775155,0.40247287597964426,0.4466368030491229,1337
B_fixed_sobel_edges,0.20472440944872936,0.23392217988682207,0.14301849498797922,0.6419518377689215,25.850175587730604,75.03829422805593,0.1,0.28395199640455004,0.31120475087540594,0.3327017626411982,0.3672199167125684,1337
B_fixed_sobel_edges,0.07912260086170031,0.19742804654008603,0.12704918032784882,0.4426139483797679,21.995042832371972,71.02816342831905,0.1,0.2602544010814807,0.3051599934943928,0.3470001311517179,0.4053936240966236,1337
B_fixed_sobel_edges,0.02497162315549566,0.253531691461401,0.16474411047925835,0.5498915401298536,25.112786488778085,75.43208866258443,0.1,0.3149499564776526,0.3541294566445194,0.38306868808061656,0.41668689726901664,1337
B_fixed_sobel_edges,0.029486527707153286,0.23543773979765686,0.15046812304945373,0.5408653846149513,30.248024944202232,80.10461795263062,0.1,0.29506986126210877,0.32874821693431916,0.348344657682304,0.3688598158925031,1337
B_fixed_sobel_edges,0.05306122448974177,0.1313418681839423,0.07202288091521789,0.7446236559119769,60.48447589895893,117.6860229593982,0.1,0.1535450314804319,0.16426497033054754,0.1693655604657448,0.17897727256422646,1337
B_fixed_sobel_edges,0.05815831987072797,0.19723446284756158,0.11871227364182939,0.5825852782759582,33.038325930367954,87.0,0.1,0.24262325465416082,0.2770635992159481,0.307954193487439,0.35948987217313166,1337
B_fixed_sobel_edges,0.011520737327182303,0.14621758887995906,0.08688055908511962,0.4612141652609939,37.48804348685162,89.80812876488935,0.1,0.18565142835969634,0.21087419495894508,0.23467654264057003,0.2670843587576333,1337
B_fixed_sobel_edges,0.0028510334996415887,0.02138613861385856,0.01093707804482704,0.47928994082556636,66.4414771035208,116.21746695461428,0.1,0.030412282597422523,0.039351562327105793,0.05101293115605894,0.07511371012911036,1337
B_fixed_sobel_edges,0.0107181136119928,0.11670641043622994,0.06488847293712917,0.5793871866287196,33.22009804031228,83.0,0.1,0.14149509619151832,0.16070652275406794,0.1815828832901609,0.21842434328181518,1337
B_fixed_sobel_edges,0.02631578947366257,0.06321205439176192,0.03304514889528981,0.7257383966229415,45.464021771141205,88.03549482636197,0.1,0.0756192851463773,0.0847589282922332,0.09358117379595508,0.11019333746506635,1337
B_fixed_sobel_edges,0.07966457023052446,0.2160493827160049,0.1314471707561013,0.6062355658191614,40.92133245189008,87.09190547921202,0.1,0.2748785261728741,0.3136309308012287,0.3402008127627082,0.37510170840135665,1337
B_fixed_sobel_edges,0.1384863123992444,0.21015264465739966,0.12991002852751152,0.5496750232121173,34.72829075487633,90.42427706265308,0.1,0.25585945135081933,0.2784153498607652,0.29908926595338886,0.34586466909027974,1337
B_fixed_sobel_edges,0.13135985198877764,0.1678686512198607,0.09698581560281967,0.6237172177872021,43.09391684778752,101.67103815738285,0.1,0.1991644257701982,0.22147814769410598,0.24093975297735928,0.2691422431305047,1337
B_fixed_sobel_edges,0.0,0.027704485488120555,0.01479567872240141,0.21724137930959572,47.12265533162759,85.9965108023724,0.1,0.04166780663192654,0.050501790006608996,0.05972575838812872,0.07755592597446138,1337
B_fixed_sobel_edges,0.03201113430756297,0.16729718369059113,0.11699000587886038,0.29351032448355935,30.77359910851351,79.85455450422715,0.1,0.22867347649376932,0.26997186502418047,0.30014866406445107,0.3471928849272974,1337
