method,Dice@0.5_mean,Dice@0.5_std,Dice@valThr_mean,Dice@valThr_std,Prec@valThr_mean,Prec@valThr_std,Rec@valThr_mean,Rec@valThr_std,ASSD_px_mean,ASSD_px_std,HD95_px_mean,HD95_px_std,F1@tol1px_mean,F1@tol1px_std,F1@tol2px_mean,F1@tol2px_std,F1@tol3px_mean,F1@tol3px_std,F1@tol5px_mean,F1@tol5px_std,seed,alpha,beta,pos_weight,learnable_params,smallcnn_params,sobelfront_params,unet_params
B_fixed_sobel_edges,0.055571843474668266,0.056044316825927164,0.19609008226139113,0.09422372753390869,0.12383771017597694,0.06627312278903885,0.5793275176785744,0.17088790265979706,33.958198264244935,13.970303046557868,82.38188610422537,18.898436506485247,0.2448317784218577,0.1161043218392858,0.27776027332931574,0.1293320835928218,0.30583378467490485,0.13912099082956256,0.3489620253667786,0.15198402701311176,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985
C_learnable_sobel_pretrain_finetune,0.14577612159437303,0.07944673339130448,0.1753974877712937,0.11338761235088601,0.13942899763243016,0.09604995697602198,0.44242953696600335,0.3126646016756781,24.200854407440826,19.057986928712275,61.12438698862607,33.150218371956676,0.24199285855971292,0.14190109072368123,0.3037625010284357,0.1649305369395569,0.3676829302530713,0.18649726226512225,0.4688939643836998,0.21837134185347706,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985
D_smallcnn_baseline,0.20592731833915082,0.13256516850441058,0.3363190283005753,0.17797086886642996,0.32357821798621456,0.18881024461383142,0.4429096532584874,0.21656772849587375,21.37141701472718,20.274755394758454,58.086969616662245,35.01451603068053,0.42319676750647967,0.21004893639145747,0.47921975713741216,0.22717224129372637,0.5226819862142082,0.23823395436008954,0.5791438605155916,0.2484738536852966,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985
E_sobelfront_cnn,0.24091064853695365,0.14325919849036142,0.3817326614746462,0.18432073785049807,0.32989828625536266,0.17365304706692605,0.5645082704089972,0.24549024568652353,20.712114225059267,19.385862955011458,58.21974016077577,35.00584610641359,0.4701769192206814,0.21185726192139873,0.5249765335355346,0.22528347014304392,0.5670031181437512,0.23330472642945313,0.6197350032741988,0.2416567810508315,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985
F_tinyunet_seg_to_boundary,0.45643169091015645,0.20361978909692396,0.45643169091015645,0.20361978909692396,0.4667046106041378,0.2190185453610143,0.48020688786455895,0.2047353719719937,inf,,inf,,0.559723304906318,0.23757497465393018,0.6264113363741793,0.2532456896735655,0.6739645659796908,0.25936606504676035,0.7272256892390248,0.25806304868209023,1337,1.2497599124908447,-1.3752460479736328,50.0,20,4817,2947,117985
