method,Dice@0.5_mean,Dice@0.5_std,Dice@valThr_mean,Dice@valThr_std,Prec@valThr_mean,Prec@valThr_std,Rec@valThr_mean,Rec@valThr_std,ASSD_px_mean,ASSD_px_std,HD95_px_mean,HD95_px_std,F1@tol1px_mean,F1@tol1px_std,F1@tol2px_mean,F1@tol2px_std,F1@tol3px_mean,F1@tol3px_std,F1@tol5px_mean,F1@tol5px_std,seed,alpha,beta,pos_weight,learnable_params,smallcnn_params,sobelfront_params,unet_params
B_fixed_sobel_edges,0.06110994336875927,0.06186192174705813,0.17571393077819472,0.09212998668111123,0.10963633777976836,0.06397177823972999,0.5681812624148888,0.1825328389919225,36.65077126892769,13.645273701165738,85.27369972378787,18.755348268197405,0.21961765742387584,0.11441101313478665,0.24982701509680977,0.12850169354482865,0.27581011343615935,0.13986459983118762,0.31508716709190887,0.15450040180379232,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985
C_learnable_sobel_pretrain_finetune,0.13585657862311604,0.0773632371856284,0.20282983681366729,0.12169692984040832,0.16308799142060912,0.1144756138333309,0.5290179087199585,0.3119771594748574,23.411150099369777,17.661738793264593,63.75688137750164,31.86512674701194,0.2757881746440011,0.15479736695099064,0.3404522148656179,0.18309251732636792,0.4039225323129649,0.20992130198396472,0.4971939912209166,0.24376031298478812,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985
D_smallcnn_baseline,0.1688449217342218,0.10836280547557538,0.33213762647827155,0.18214322965904317,0.2773261156483344,0.1769723043896319,0.6034839422435211,0.26693092937373897,20.386470420848543,18.64330183146587,54.00698020549951,33.77056375509827,0.4124424474640926,0.21342090772031075,0.4695443538279287,0.23316175639566927,0.5182014562329591,0.24804646274836667,0.5856386280239524,0.2653578376872709,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985
E_sobelfront_cnn,0.22614577695034163,0.14116060287858284,0.37871386738948853,0.19510704348479338,0.32055035719961156,0.18980809069966414,0.6078915135261231,0.2576561486354663,19.545725011528063,18.04159422111177,54.88939117602708,33.42594293663668,0.4656272487666374,0.2258713734783831,0.5207108943987216,0.24225574773447248,0.5637981889955411,0.2528660793935082,0.6212682370303905,0.26506634984337524,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985
F_tinyunet_seg_to_boundary,0.45664621998581223,0.2418392205325615,0.45664621998581223,0.2418392205325615,0.4938132443093994,0.2644420851630534,0.4726105754119297,0.24031816234344158,inf,,inf,,0.549195154802037,0.27319872029147757,0.6047845483062642,0.28208783966444206,0.6468530312501408,0.28366496964170784,0.7027269057986709,0.281302988566046,99,1.2550008296966553,-1.388378620147705,50.0,20,4817,2947,117985
