method,Dice@0.5,Dice@valThr,Prec@valThr,Rec@valThr,ASSD_px,HD95_px,Thr_val,F1@tol1px,F1@tol2px,F1@tol3px,F1@tol5px,seed
B_fixed_sobel_edges,0.13134851138342263,0.12716615698265454,0.06873278236913653,0.8486394557808696,47.38335270509134,95.22603121270971,0.1,0.1487894179726501,0.1596958173435079,0.16527672463984608,0.17656662045934177,7
B_fixed_sobel_edges,0.1981809478218295,0.17956903431761975,0.10122595883476534,0.7943512797874719,40.11338803477685,89.12014210077558,0.1,0.22872814039772518,0.26555335681624703,0.2980474729469134,0.34969837558142924,7
B_fixed_sobel_edges,0.14035087719289754,0.21521572632113667,0.12397058823527587,0.815280464215846,33.73575187051369,81.04597454889442,0.1,0.27337468463860765,0.317566770601931,0.35907335877864677,0.42373667096863904,7
B_fixed_sobel_edges,0.08433734939751779,0.3180368098158729,0.21744966442945723,0.5917808219172678,27.948310295371122,76.39437099047333,0.1,0.4091283172919898,0.4770178370512563,0.5274448634163427,0.5765464528972246,7
B_fixed_sobel_edges,0.08583690987117096,0.34294786980673647,0.24324324324315194,0.58116591928199,23.32607608260572,72.11102550927978,0.1,0.43930358331793434,0.5044430545896432,0.5414740262690776,0.5750200584292638,7
B_fixed_sobel_edges,0.050914306202921866,0.24176100628927774,0.16632052613358145,0.44244935543257713,29.50593894986164,90.42317045080567,0.1,0.31498589038764996,0.3638267780775155,0.40247287597964426,0.4466368030491229,7
B_fixed_sobel_edges,0.20472440944872936,0.23392217988682207,0.14301849498797922,0.6419518377689215,25.850175587730604,75.03829422805593,0.1,0.28395199640455004,0.31120475087540594,0.3327017626411982,0.3672199167125684,7
B_fixed_sobel_edges,0.07912260086170031,0.19742804654008603,0.12704918032784882,0.4426139483797679,21.995042832371972,71.02816342831905,0.1,0.2602544010814807,0.3051599934943928,0.3470001311517179,0.4053936240966236,7
B_fixed_sobel_edges,0.02497162315549566,0.253531691461401,0.16474411047925835,0.5498915401298536,25.112786488778085,75.43208866258443,0.1,0.3149499564776526,0.3541294566445194,0.38306868808061656,0.41668689726901664,7
B_fixed_sobel_edges,0.029486527707153286,0.23543773979765686,0.15046812304945373,0.5408653846149513,30.248024944202232,80.10461795263062,0.1,0.29506986126210877,0.32874821693431916,0.348344657682304,0.3688598158925031,7
B_fixed_sobel_edges,0.05306122448974177,0.1313418681839423,0.07202288091521789,0.7446236559119769,60.48447589895893,117.6860229593982,0.1,0.1535450314804319,0.16426497033054754,0.1693655604657448,0.17897727256422646,7
B_fixed_sobel_edges,0.09803921568621797,0.17921049037014353,0.10567010309276648,0.589398023359758,34.59368495683056,82.0,0.1,0.23365754786492615,0.2877378680883652,0.34153325845308363,0.40677531085252816,7
B_fixed_sobel_edges,0.15740329035119724,0.19918651946540392,0.12038207613427161,0.5767160161503522,25.17085457195457,67.37505624946866,0.1,0.24890522658992553,0.2870203448372237,0.3292634215121664,0.4006722161629512,7
B_fixed_sobel_edges,0.1763995167135818,0.23489069867121357,0.14109165808443086,0.700767263426662,25.10971476176205,64.32728814430156,0.1,0.2914386480571723,0.33134652633815403,0.3701553494360627,0.4291203232220002,7
B_fixed_sobel_edges,0.10254200775523371,0.22485207100589155,0.1349173835859436,0.6744027303749662,28.00506278277782,70.0,0.1,0.2772287124133102,0.31888119966663475,0.3546692836962329,0.39951917791207764,7
