method,Dice@0.5_mean,Dice@0.5_std,Dice@valThr_mean,Dice@valThr_std,Prec@valThr_mean,Prec@valThr_std,Rec@valThr_mean,Rec@valThr_std,ASSD_px_mean,ASSD_px_std,HD95_px_mean,HD95_px_std,F1@tol1px_mean,F1@tol1px_std,F1@tol2px_mean,F1@tol2px_std,F1@tol3px_mean,F1@tol3px_std,F1@tol5px_mean,F1@tol5px_std,seed,alpha,beta,pos_weight,learnable_params,smallcnn_params,sobelfront_params,unet_params
B_fixed_sobel_edges,0.054423320601755566,0.05305903011848975,0.18299145223891727,0.09313231988125323,0.11395687966084778,0.06490468075801695,0.5736990948477849,0.18843486429359174,34.66350359800876,13.184945664428113,82.39676178167313,17.58501262537819,0.22741935155817075,0.11486222916111274,0.25751976090916007,0.12822339086306725,0.28352062322717025,0.13840837277480827,0.32521360701395857,0.15234704595824564,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985
C_learnable_sobel_pretrain_finetune,0.14745545720417483,0.0855056650423539,0.18321524389288651,0.121194567921815,0.1564257657788606,0.11257726914449107,0.41319978474736796,0.31000115855966537,21.209820110213457,17.184409874917353,54.730038716181255,32.296704305921374,0.2550505231284746,0.15628191670896283,0.32029574662386967,0.18639244218856094,0.38662595829315843,0.2139425607453894,0.48846495638001086,0.24828858219375177,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985
D_smallcnn_baseline,0.21513778568818687,0.13851671535772073,0.31092403911972394,0.19333157862970868,0.3292521648554402,0.21456276702769542,0.3638417659039595,0.22018124455272886,17.57971123778678,16.28909471300355,48.413239238540555,30.702527424551825,0.39790883187138526,0.22994094944235408,0.4550666347701401,0.24886508921828965,0.5018365361269936,0.2607999277177906,0.5656918965519111,0.2710658146201191,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985
E_sobelfront_cnn,0.27251382765199883,0.15703492421311313,0.381330687623874,0.19640021836706087,0.350321288719986,0.18539004156911149,0.5065680524925282,0.27121116446016097,15.973253732493792,15.374879372507335,46.57291841996812,30.257407944570925,0.4732030936049455,0.22457630501488743,0.5322985671098426,0.2378754988647932,0.578968046983965,0.24588846793083927,0.6402442272287561,0.2527504963525065,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985
F_tinyunet_seg_to_boundary,0.4439028448465579,0.2104562166619943,0.4439028448465579,0.2104562166619943,0.4756051085939577,0.2259432259146146,0.44472309577497204,0.21404956330261302,inf,,inf,,0.5458074378285276,0.24479506971740972,0.612414042046716,0.2607844346461541,0.6611114690108428,0.26804488199613424,0.7181415480001485,0.270335833792161,42,1.2531758546829224,-1.393665075302124,50.0,20,4817,2947,117985
